Variable:,cdd
,Greece,"Anatoliki Makedonia Kai Thraki",Attiki,"Dytiki Ellada","Dytiki Makedonia","Ionioi Nisoi",Ipeiros,"Kentriki Makedonia",Kriti,Peloponnisos,"Sterea Ellada",Thessalia,"Voreio Aigaio","Notio Aigaio"
1970,34.75,24.06,72.34,30.96,20.49,42.30,16.48,28.05,84.01,55.92,34.22,30.31,98.76,112.18
1971,23.84,17.94,30.96,23.21,21.74,28.61,21.66,19.41,58.62,29.53,21.58,22.38,50.98,114.32
1972,25.08,20.91,34.76,27.14,17.74,50.37,21.01,20.05,47.49,35.25,23.72,22.04,33.49,56.00
1973,26.60,22.21,47.99,23.43,17.11,67.66,20.78,18.63,91.83,36.29,24.58,18.19,74.36,140.60
1974,37.09,25.48,68.31,33.20,28.79,41.40,31.66,24.88,82.69,48.55,46.07,31.55,73.48,109.08
1975,30.04,27.15,58.95,25.28,16.42,45.26,22.02,19.23,90.53,38.44,32.63,24.74,79.67,111.77
1976,28.30,21.53,42.43,21.42,20.16,29.20,17.64,25.66,107.54,32.58,24.46,21.48,60.61,108.44
1977,36.55,34.63,77.96,35.25,19.54,65.07,19.94,21.97,93.02,55.32,42.91,24.91,110.58,116.40
1978,48.54,30.47,84.43,60.33,37.17,100.05,52.79,33.94,113.59,72.28,40.29,28.96,99.03,127.80
1979,25.66,18.34,34.81,27.55,18.52,34.53,21.64,19.22,80.41,32.24,21.58,20.14,105.10,144.25
1980,37.43,18.26,70.59,38.63,33.23,44.31,30.36,22.16,105.25,54.09,35.57,31.51,70.52,128.07
1981,36.85,19.36,108.73,30.68,18.74,74.60,24.25,19.66,142.16,42.75,49.96,27.96,109.89,154.20
1982,31.08,28.67,49.69,29.99,23.05,53.42,23.64,20.42,88.47,41.08,27.11,24.31,117.70,123.54
1983,26.41,18.14,56.05,23.33,24.67,50.36,23.10,24.74,61.73,32.41,25.74,23.84,75.34,145.88
1984,47.45,36.80,72.13,58.18,32.81,91.88,43.94,35.14,87.70,61.30,40.39,41.68,147.59,137.09
1985,47.75,26.04,93.02,47.05,30.76,65.69,30.15,26.70,121.44,74.64,56.01,50.95,140.41,143.45
1986,35.84,44.36,85.13,35.02,20.10,62.06,20.19,25.33,80.81,54.28,31.90,21.87,124.55,105.84
1987,36.38,29.63,68.46,31.82,30.58,56.01,22.54,21.00,141.45,41.81,34.26,24.82,128.48,161.09
1988,50.14,29.58,102.26,69.91,27.08,115.16,39.97,29.71,113.60,67.79,62.85,37.03,113.39,165.46
1989,42.87,56.01,72.15,35.13,32.39,42.25,27.95,37.80,121.92,48.12,36.79,27.83,97.89,138.28
1990,40.17,29.23,64.58,44.32,35.40,76.01,31.65,32.46,91.24,55.49,38.55,28.37,103.63,131.86
1991,29.30,19.98,70.05,22.08,18.07,39.27,18.80,21.66,90.95,44.04,28.16,20.84,84.71,132.03
1992,45.40,32.19,76.67,49.23,29.34,79.10,32.17,32.08,120.49,46.35,50.21,50.38,120.97,168.70
1993,56.99,31.74,102.28,65.78,39.28,80.10,54.42,37.15,136.98,69.46,59.28,50.26,105.99,151.23
1994,42.64,26.50,74.84,34.87,24.86,77.13,22.19,29.25,134.26,65.31,48.99,33.15,114.77,137.96
1995,30.97,22.43,47.68,32.46,24.77,65.27,29.84,23.21,86.26,36.61,30.04,24.76,82.14,121.98
1996,37.15,24.77,80.64,30.97,29.23,52.08,30.03,25.51,108.58,43.62,44.07,28.14,92.46,101.88
1997,40.07,24.20,63.47,46.56,38.54,73.54,36.35,23.66,97.70,51.04,39.58,34.28,103.21,140.01
1998,50.33,37.71,102.69,43.54,29.35,76.82,30.62,39.21,117.48,87.75,49.96,38.54,91.55,114.51
1999,30.45,20.88,51.14,30.04,25.54,70.76,25.34,20.85,98.63,34.84,32.27,25.61,103.18,142.63
2000,39.84,35.07,101.19,31.56,25.56,71.44,25.73,28.40,118.58,50.28,41.65,29.65,138.27,159.33
2001,38.53,31.24,64.66,36.43,34.08,55.02,29.55,28.66,92.96,47.30,42.67,36.04,78.39,151.04
2002,27.84,22.55,50.89,26.33,22.25,46.66,18.35,24.61,61.13,32.62,31.06,22.88,68.56,93.08
2003,34.10,28.10,66.31,28.97,19.67,41.76,31.64,20.57,110.09,43.74,37.32,24.73,108.20,143.96
2004,30.48,22.60,47.52,26.41,29.37,41.55,25.91,22.69,81.80,32.25,31.23,31.00,83.23,148.59
2005,26.65,20.51,46.20,27.34,15.39,52.79,21.15,19.37,74.45,34.36,25.25,22.56,46.88,92.77
2006,34.63,23.03,79.75,25.17,24.32,31.24,18.90,23.70,87.55,50.29,44.50,29.53,100.16,127.34
